dt_leitura;coordenadaId;termopar_1;termopar_2;termopar_3;termopar_amb
2021-09-13 00:00:02.18;1;113.00;94.30;111.30;25.90
2021-09-13 00:00:02.19;1;113.00;94.30;111.40;26.00
2021-09-13 00:00:02.20;1;113.10;94.30;111.40;26.00
2021-09-13 00:00:02.21;1;113.20;94.50;111.60;26.00
2021-09-13 00:00:02.22;1;113.30;94.50;111.80;26.00
2021-09-13 00:00:02.23;1;113.40;94.40;112.10;26.00
2021-09-13 00:00:02.24;1;113.30;94.40;111.80;26.10
2021-09-13 00:00:02.25;1;113.40;94.50;112.20;26.00
2021-09-13 00:00:02.26;1;113.30;94.50;112.30;26.00
2021-09-13 00:00:02.27;1;113.50;94.50;112.50;26.10
2021-09-13 00:00:02.28;1;113.60;94.50;112.30;26.10
2021-09-13 00:00:02.29;1;113.60;94.70;112.30;26.00
2021-09-13 00:00:02.30;1;113.70;94.70;112.40;26.10
2021-09-13 00:00:02.31;1;113.80;94.80;112.40;26.10
2021-09-13 00:00:02.32;1;113.80;94.80;112.40;26.00
2021-09-13 00:00:02.33;1;113.80;94.80;112.30;26.00
2021-09-13 00:00:02.34;1;113.80;94.60;112.40;26.00
2021-09-13 00:00:02.35;1;113.90;94.80;112.10;26.10
2021-09-13 00:00:02.36;1;113.90;94.70;111.90;26.10
2021-09-13 00:00:02.37;1;113.70;94.60;111.90;26.10
2021-09-13 00:00:02.38;1;113.80;94.80;112.30;26.10
2021-09-13 00:00:02.39;1;113.70;94.70;112.20;26.10
2021-09-13 00:00:02.40;1;113.80;94.70;112.10;26.00
2021-09-13 00:00:02.41;1;113.80;94.50;112.30;26.00
2021-09-13 00:00:02.42;1;113.80;94.50;112.50;26.00
2021-09-13 00:00:02.43;1;113.90;94.50;112.40;26.00
2021-09-13 00:00:02.44;1;114.00;94.60;112.60;26.00
2021-09-13 00:00:02.45;1;114.00;94.60;112.20;26.00
2021-09-13 00:00:02.46;1;114.00;94.70;112.00;26.00
2021-09-13 00:00:02.47;1;113.80;94.70;112.10;26.00
2021-09-13 00:00:02.48;1;113.90;94.80;111.70;26.00
2021-09-13 00:00:02.49;1;114.00;94.80;111.60;26.00
2021-09-13 00:00:02.50;1;114.10;94.70;111.90;26.00
2021-09-13 00:00:02.51;1;114.00;94.70;111.50;26.00
2021-09-13 00:00:02.52;1;114.10;94.80;111.60;26.10
2021-09-13 00:00:02.53;1;113.90;94.80;111.70;26.00
2021-09-13 00:00:02.54;1;114.00;94.70;111.60;26.00
2021-09-13 00:00:02.55;1;114.00;94.80;111.80;26.00
2021-09-13 00:00:02.56;1;113.90;94.70;111.40;26.10
2021-09-13 00:00:02.57;1;113.90;94.80;111.10;26.10
2021-09-13 00:00:02.58;1;113.80;94.80;111.10;26.10
2021-09-13 00:00:02.59;1;113.80;94.50;111.30;26.10
2021-09-13 00:00:02.60;1;113.80;94.60;111.30;26.10
2021-09-13 00:00:02.61;1;113.80;94.60;111.20;26.10
2021-09-13 00:00:02.62;1;113.80;94.50;111.40;26.10
2021-09-13 00:00:02.63;1;113.90;94.60;111.20;26.10
2021-09-13 00:00:02.64;1;113.90;94.50;111.30;26.10
2021-09-13 00:00:02.65;1;113.90;94.40;111.30;26.10
2021-09-13 00:00:02.66;1;113.90;94.60;111.20;26.10
2021-09-13 00:00:02.67;1;113.90;94.40;111.30;26.10
2021-09-13 00:00:02.68;1;113.90;94.40;111.60;26.10
2021-09-13 00:00:02.69;1;113.80;94.20;111.60;26.10
2021-09-13 00:00:02.70;1;113.80;94.30;111.50;26.10
2021-09-13 00:00:02.71;1;113.90;94.40;111.40;26.00
2021-09-13 00:00:02.72;1;113.90;94.50;111.20;26.10
2021-09-13 00:00:02.73;1;113.80;94.50;111.20;26.10
2021-09-13 00:00:02.74;1;113.90;94.40;111.50;26.10
2021-09-13 00:00:02.75;1;113.80;94.50;111.80;26.10
2021-09-13 00:00:02.76;1;113.70;94.50;111.60;26.10
2021-09-13 00:00:02.77;1;113.90;94.60;111.30;26.10
2021-09-13 00:00:02.78;1;113.90;94.40;111.40;26.00
2021-09-13 00:00:02.79;1;114.00;94.40;111.50;26.10
2021-09-13 00:00:02.80;1;114.00;94.50;111.60;26.10
2021-09-13 00:00:02.81;1;114.00;94.50;111.40;26.10
2021-09-13 00:00:02.82;1;114.00;94.40;111.20;26.10
2021-09-13 00:00:02.83;1;114.00;94.40;111.20;26.10
2021-09-13 00:00:02.84;1;113.80;94.40;111.40;26.10
2021-09-13 00:00:02.85;1;113.80;94.40;111.30;26.10
2021-09-13 00:00:02.86;1;113.80;94.50;111.00;26.10
2021-09-13 00:00:02.87;1;113.60;94.60;111.20;26.10
2021-09-13 00:00:02.88;1;113.60;94.50;110.60;26.10
2021-09-13 00:00:02.89;1;113.50;93.40;109.40;26.10
2021-09-13 00:00:02.90;1;108.60;89.50;101.30;26.10
2021-09-13 00:00:02.91;1;96.00;79.90;90.90;26.10
2021-09-13 00:00:02.92;1;85.80;72.30;73.90;26.10
2021-09-13 00:00:02.93;1;76.40;65.20;64.50;26.10
2021-09-13 00:00:02.94;1;65.90;57.30;57.80;26.20
2021-09-13 00:00:02.95;1;60.20;53.20;50.40;26.10
2021-09-13 00:00:02.96;1;53.10;49.90;47.10;26.10
2021-09-13 00:00:02.97;1;49.50;45.50;43.90;26.20
2021-09-13 00:00:02.98;1;46.90;43.70;41.30;26.10
2021-09-13 00:00:02.99;1;43.90;41.60;40.10;26.10
2021-09-13 00:00:03.00;1;42.40;40.50;38.70;26.20
2021-09-13 00:00:03.01;1;41.00;39.50;38.00;26.20
2021-09-13 00:00:03.02;1;39.60;38.50;37.40;26.20
2021-09-13 00:00:03.03;1;38.90;38.00;36.80;26.20
2021-09-13 00:00:03.04;1;37.90;37.40;36.50;26.20
2021-09-13 00:00:03.05;1;37.40;36.90;36.20;26.20
2021-09-13 00:00:03.06;1;36.90;36.70;35.70;26.20
2021-09-13 00:00:03.07;1;36.40;36.20;35.50;26.20
2021-09-13 00:00:03.08;1;36.10;36.10;35.30;26.20
2021-09-13 00:00:03.09;1;35.80;35.90;35.20;26.20
2021-09-13 00:00:03.10;1;35.50;35.70;35.10;26.20
2021-09-13 00:00:03.11;1;35.30;35.70;35.10;26.10
2021-09-13 00:00:03.12;1;35.10;35.60;35.00;26.10
2021-09-13 00:00:03.13;1;35.00;35.40;34.90;26.10
2021-09-13 00:00:03.14;1;34.80;35.40;34.70;26.10
2021-09-13 00:00:03.15;1;34.60;35.20;34.70;26.10
2021-09-13 00:00:03.16;1;34.50;35.20;34.50;26.10
2021-09-13 00:00:03.17;1;34.30;35.00;34.40;26.10
2021-09-13 00:00:03.18;1;34.10;34.90;34.20;26.10
2021-09-13 00:00:03.19;1;34.00;35.00;34.50;26.00
2021-09-13 00:00:03.20;1;40.20;39.50;40.30;26.00
2021-09-13 00:00:03.21;1;38.70;38.20;40.20;26.10
2021-09-13 00:00:03.22;1;52.10;49.90;61.20;26.20
2021-09-13 00:00:03.23;1;61.70;54.80;61.00;26.20
2021-09-13 00:00:03.24;1;66.00;56.90;60.60;26.20
2021-09-13 00:00:03.25;1;71.30;59.60;61.40;26.10
2021-09-13 00:00:03.26;1;74.90;61.70;63.20;26.10
2021-09-13 00:00:03.27;1;77.30;63.00;65.10;26.10
2021-09-13 00:00:03.28;1;80.50;64.60;65.60;26.10
2021-09-13 00:00:03.29;1;82.40;65.40;66.30;26.10
2021-09-13 00:00:03.30;1;83.80;66.30;66.80;26.10
2021-09-13 00:00:03.31;1;86.50;70.40;67.60;26.10
2021-09-13 00:00:03.32;1;88.90;77.60;86.30;26.00
2021-09-13 00:00:03.33;1;97.10;82.10;96.20;26.10
2021-09-13 00:00:03.34;1;100.80;86.60;102.70;26.10
2021-09-13 00:00:03.35;1;103.60;88.70;108.30;26.00
2021-09-13 00:00:03.36;1;106.10;89.90;110.10;26.00
2021-09-13 00:00:03.37;1;107.20;91.10;111.40;26.00
2021-09-13 00:00:03.38;1;108.00;91.50;111.90;26.00
2021-09-13 00:00:03.39;1;109.20;92.30;112.40;26.00
2021-09-13 00:00:03.40;1;109.80;93.00;113.40;26.00
2021-09-13 00:00:03.41;1;110.60;93.30;113.80;26.00
2021-09-13 00:00:03.42;1;111.00;93.80;114.20;26.00
2021-09-13 00:00:03.43;1;111.40;94.10;114.50;26.00
2021-09-13 00:00:03.44;1;111.80;94.30;114.70;26.00
2021-09-13 00:00:03.45;1;112.00;94.40;115.20;26.00
2021-09-13 00:00:03.46;1;112.20;94.50;115.00;25.90
2021-09-13 00:00:03.47;1;112.40;94.50;115.30;26.00
2021-09-13 00:00:03.48;1;112.60;94.90;115.80;25.90
2021-09-13 00:00:03.49;1;112.90;95.00;115.60;25.90
2021-09-13 00:00:03.50;1;113.10;95.10;116.00;25.90
2021-09-13 00:00:03.51;1;113.40;95.10;115.80;25.90
2021-09-13 00:00:03.52;1;113.50;95.10;115.90;25.90
2021-09-13 00:00:03.53;1;113.60;95.10;116.00;25.80
2021-09-13 00:00:03.54;1;113.70;95.00;116.10;25.90
2021-09-13 00:00:03.55;1;113.60;95.20;115.80;25.90
2021-09-13 00:00:03.56;1;113.50;95.20;115.50;25.90
2021-09-13 00:00:03.57;1;113.60;95.00;115.60;25.90
2021-09-13 00:00:03.58;1;113.60;95.00;115.60;25.90
2021-09-13 00:00:03.59;1;113.60;95.00;115.70;25.90
2021-09-13 00:00:03.60;1;113.60;95.00;115.70;25.80
2021-09-13 00:00:03.61;1;113.70;94.90;116.00;25.90
2021-09-13 00:00:03.62;1;113.80;94.90;115.90;25.90
2021-09-13 00:00:03.63;1;113.80;94.90;115.60;25.90
2021-09-13 00:00:03.64;1;113.70;94.80;115.30;25.90
2021-09-13 00:00:03.65;1;113.80;94.80;115.20;25.90
2021-09-13 00:00:03.66;1;113.90;94.70;115.40;25.90
2021-09-13 00:00:03.67;1;114.00;94.80;115.20;25.80
2021-09-13 00:00:03.68;1;113.90;94.80;115.20;25.70
2021-09-13 00:00:03.69;1;114.00;95.00;115.80;25.70
2021-09-13 00:00:03.70;1;113.90;95.10;115.70;25.70
2021-09-13 00:00:03.71;1;113.80;95.00;115.50;25.70
2021-09-13 00:00:03.72;1;113.80;94.80;115.60;25.70
2021-09-13 00:00:03.73;1;114.00;94.80;115.70;25.70
2021-09-13 00:00:03.74;1;113.90;94.90;115.50;25.70
2021-09-13 00:00:03.75;1;113.90;94.80;115.50;25.70
2021-09-13 00:00:03.76;1;113.90;94.90;115.50;25.80
2021-09-13 00:00:03.77;1;114.10;94.90;115.70;25.80
2021-09-13 00:00:03.78;1;114.10;95.00;115.50;25.80
2021-09-13 00:00:03.79;1;114.20;94.90;115.60;25.80
2021-09-13 00:00:03.80;1;114.20;94.90;115.70;25.80
2021-09-13 00:00:03.81;1;114.30;95.10;115.80;25.90
2021-09-13 00:00:03.82;1;114.30;95.10;115.70;25.90
2021-09-13 00:00:03.83;1;114.20;95.00;115.80;25.90
2021-09-13 00:00:03.84;1;114.30;95.10;115.80;25.90
2021-09-13 00:00:03.85;1;114.40;95.10;115.90;25.90
2021-09-13 00:00:03.86;1;114.50;95.10;116.00;25.90
2021-09-13 00:00:03.87;1;114.50;95.00;116.00;26.00
2021-09-13 00:00:03.88;1;114.40;95.00;116.20;26.00
2021-09-13 00:00:03.89;1;114.40;95.10;116.20;26.00
2021-09-13 00:00:03.90;1;114.40;95.20;116.10;26.00
2021-09-13 00:00:03.91;1;114.60;95.40;116.20;26.00
2021-09-13 00:00:03.92;1;114.60;95.50;116.20;26.00
2021-09-13 00:00:03.93;1;114.70;95.50;116.20;26.00
2021-09-13 00:00:03.94;1;114.60;95.50;116.20;26.00
2021-09-13 00:00:03.95;1;114.70;95.50;116.30;26.00
2021-09-13 00:00:03.96;1;114.70;95.30;116.10;26.00
2021-09-13 00:00:03.97;1;114.60;95.20;116.30;26.00
2021-09-13 00:00:03.98;1;114.60;95.20;116.20;26.00
2021-09-13 00:00:03.99;1;114.60;95.20;116.20;26.00
2021-09-13 00:00:04.00;1;114.50;95.20;116.10;26.00
2021-09-13 00:00:04.01;1;114.50;95.00;116.10;26.00
2021-09-13 00:00:04.02;1;114.50;95.00;116.20;26.00
2021-09-13 00:00:04.03;1;114.40;95.00;116.10;26.00
2021-09-13 00:00:04.04;1;114.40;94.80;115.90;26.00
2021-09-13 00:00:04.05;1;114.30;94.60;115.90;26.00
2021-09-13 00:00:04.06;1;114.20;94.80;115.80;25.90
2021-09-13 00:00:04.07;1;114.20;94.70;115.80;25.90
2021-09-13 00:00:04.08;1;114.20;94.80;116.00;25.90
2021-09-13 00:00:04.09;1;114.10;94.80;115.80;25.80
2021-09-13 00:00:04.10;1;114.20;94.80;115.70;25.80
2021-09-13 00:00:04.11;1;114.10;94.60;115.80;25.90
2021-09-13 00:00:04.12;1;114.10;94.50;115.70;25.90
2021-09-13 00:00:04.13;1;114.00;94.60;115.80;25.90
2021-09-13 00:00:04.14;1;114.20;94.80;116.00;25.90
2021-09-13 00:00:04.15;1;114.50;94.80;115.70;25.90
2021-09-13 00:00:04.16;1;114.50;94.90;115.70;25.90
2021-09-13 00:00:04.17;1;114.60;94.80;115.80;25.80
2021-09-13 00:00:04.18;1;114.60;95.00;115.80;25.80
2021-09-13 00:00:04.19;1;114.60;94.90;115.90;25.70
2021-09-13 00:00:04.20;1;114.60;95.00;115.80;25.80
2021-09-13 00:00:04.21;1;114.60;94.90;115.70;25.80
2021-09-13 00:00:04.22;1;114.50;95.00;116.10;25.80
2021-09-13 00:00:04.23;1;114.30;94.90;116.20;25.80
2021-09-13 00:00:04.24;1;114.40;95.00;116.00;25.80
2021-09-13 00:00:04.25;1;114.30;95.00;116.40;25.80
2021-09-13 00:00:04.26;1;114.30;95.20;116.40;25.80
